LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	UN_RATE	Flag Codes
AUS	HUR	TOT	PC_LF	M	2019-12	5.046326	
AUS	HUR	TOT	PC_LF	M	2020-01	5.311689	
AUS	HUR	TOT	PC_LF	M	2020-02	5.13366	
AUS	HUR	TOT	PC_LF	M	2020-03	5.271841	
AUS	HUR	TOT	PC_LF	M	2020-04	6.374276	
AUS	HUR	TOT	PC_LF	M	2020-05	7.018559	
AUS	HUR	TOT	PC_LF	M	2020-06	7.353504	
AUS	HUR	TOT	PC_LF	M	2020-07	7.44782	
AUS	HUR	TOT	PC_LF	M	2020-08	6.758088	
AUS	HUR	TOT	PC_LF	M	2020-09	6.854655	
AUS	HUR	TOT	PC_LF	M	2020-10	6.935978	
AUS	HUR	TOT	PC_LF	M	2020-11	6.832822	
AUS	HUR	TOT	PC_LF	M	2020-12	6.577847	
AUS	HUR	TOT	PC_LF	M	2021-01	6.399545	
AUS	HUR	TOT	PC_LF	M	2021-02	5.862685	
AUS	HUR	TOT	PC_LF	M	2021-03	5.693758	
AUS	HUR	TOT	PC_LF	M	2021-04	5.471205	
AUS	HUR	TOT	PC_LF	M	2021-05	5.065564	
AUS	HUR	TOT	PC_LF	M	2021-06	4.906898	
AUS	HUR	TOT	PC_LF	M	2021-07	4.628413	
AUS	HUR	TOT	PC_LF	M	2021-08	4.525121	
AUS	HUR	TOT	PC_LF	M	2021-09	4.631909	
AUS	HUR	TOT	PC_LF	M	2021-10	5.223247	
AUS	HUR	TOT	PC_LF	M	2021-11	4.608804	
AUS	HUR	TOT	PC_LF	M	2021-12	4.157424	
AUT	HUR	TOT	PC_LF	M	2019-12	4.6	P
AUT	HUR	TOT	PC_LF	M	2020-01	4.5	P
AUT	HUR	TOT	PC_LF	M	2020-02	4.5	P
AUT	HUR	TOT	PC_LF	M	2020-03	4.9	P
AUT	HUR	TOT	PC_LF	M	2020-04	6	P
AUT	HUR	TOT	PC_LF	M	2020-05	7.1	P
AUT	HUR	TOT	PC_LF	M	2020-06	7.7	P
AUT	HUR	TOT	PC_LF	M	2020-07	6.8	P
AUT	HUR	TOT	PC_LF	M	2020-08	6.4	P
AUT	HUR	TOT	PC_LF	M	2020-09	6.4	P
AUT	HUR	TOT	PC_LF	M	2020-10	6.1	P
AUT	HUR	TOT	PC_LF	M	2020-11	6.1	P
AUT	HUR	TOT	PC_LF	M	2020-12	6.9	P
AUT	HUR	TOT	PC_LF	M	2021-01	7.3	P
AUT	HUR	TOT	PC_LF	M	2021-02	7	P
AUT	HUR	TOT	PC_LF	M	2021-03	6.7	P
AUT	HUR	TOT	PC_LF	M	2021-04	7.1	P
AUT	HUR	TOT	PC_LF	M	2021-05	6.7	P
AUT	HUR	TOT	PC_LF	M	2021-06	6.2	P
AUT	HUR	TOT	PC_LF	M	2021-07	6	P
AUT	HUR	TOT	PC_LF	M	2021-08	5.8	P
AUT	HUR	TOT	PC_LF	M	2021-09	5.1	P
AUT	HUR	TOT	PC_LF	M	2021-10	5.7	P
AUT	HUR	TOT	PC_LF	M	2021-11	5.2	P
AUT	HUR	TOT	PC_LF	M	2021-12	4.9	P
BEL	HUR	TOT	PC_LF	M	2019-12	5.3	
BEL	HUR	TOT	PC_LF	M	2020-01	5.2	
BEL	HUR	TOT	PC_LF	M	2020-02	5	
BEL	HUR	TOT	PC_LF	M	2020-03	4.9	
BEL	HUR	TOT	PC_LF	M	2020-04	4.9	
BEL	HUR	TOT	PC_LF	M	2020-05	5	
BEL	HUR	TOT	PC_LF	M	2020-06	5.4	
BEL	HUR	TOT	PC_LF	M	2020-07	6	
BEL	HUR	TOT	PC_LF	M	2020-08	6.4	
BEL	HUR	TOT	PC_LF	M	2020-09	6.3	
BEL	HUR	TOT	PC_LF	M	2020-10	5.8	
BEL	HUR	TOT	PC_LF	M	2020-11	5.8	
BEL	HUR	TOT	PC_LF	M	2020-12	6	B
BEL	HUR	TOT	PC_LF	M	2021-01	6.5	
BEL	HUR	TOT	PC_LF	M	2021-02	6.8	
BEL	HUR	TOT	PC_LF	M	2021-03	6.7	
BEL	HUR	TOT	PC_LF	M	2021-04	6.5	
BEL	HUR	TOT	PC_LF	M	2021-05	6.3	
BEL	HUR	TOT	PC_LF	M	2021-06	6.3	
BEL	HUR	TOT	PC_LF	M	2021-07	6.2	
BEL	HUR	TOT	PC_LF	M	2021-08	6.3	
BEL	HUR	TOT	PC_LF	M	2021-09	6.2	
BEL	HUR	TOT	PC_LF	M	2021-10	6	
BEL	HUR	TOT	PC_LF	M	2021-11	5.9	
BEL	HUR	TOT	PC_LF	M	2021-12	5.7	
CAN	HUR	TOT	PC_LF	M	2019-12	5.8	
CAN	HUR	TOT	PC_LF	M	2020-01	5.6	
CAN	HUR	TOT	PC_LF	M	2020-02	5.7	
CAN	HUR	TOT	PC_LF	M	2020-03	7.9	
CAN	HUR	TOT	PC_LF	M	2020-04	13	
CAN	HUR	TOT	PC_LF	M	2020-05	13.4	
CAN	HUR	TOT	PC_LF	M	2020-06	12.2	
CAN	HUR	TOT	PC_LF	M	2020-07	10.9	
CAN	HUR	TOT	PC_LF	M	2020-08	10.3	
CAN	HUR	TOT	PC_LF	M	2020-09	9.2	
CAN	HUR	TOT	PC_LF	M	2020-10	9.2	
CAN	HUR	TOT	PC_LF	M	2020-11	8.7	
CAN	HUR	TOT	PC_LF	M	2020-12	8.9	
CAN	HUR	TOT	PC_LF	M	2021-01	9.4	
CAN	HUR	TOT	PC_LF	M	2021-02	8.3	
CAN	HUR	TOT	PC_LF	M	2021-03	7.5	
CAN	HUR	TOT	PC_LF	M	2021-04	8	
CAN	HUR	TOT	PC_LF	M	2021-05	8	
CAN	HUR	TOT	PC_LF	M	2021-06	7.6	
CAN	HUR	TOT	PC_LF	M	2021-07	7.4	
CAN	HUR	TOT	PC_LF	M	2021-08	7.1	
CAN	HUR	TOT	PC_LF	M	2021-09	7	
CAN	HUR	TOT	PC_LF	M	2021-10	6.8	
CAN	HUR	TOT	PC_LF	M	2021-11	6.1	
CAN	HUR	TOT	PC_LF	M	2021-12	6	
CZE	HUR	TOT	PC_LF	M	2019-12	2	
CZE	HUR	TOT	PC_LF	M	2020-01	2	
CZE	HUR	TOT	PC_LF	M	2020-02	1.8	
CZE	HUR	TOT	PC_LF	M	2020-03	1.9	
CZE	HUR	TOT	PC_LF	M	2020-04	2.2	
CZE	HUR	TOT	PC_LF	M	2020-05	2.4	
CZE	HUR	TOT	PC_LF	M	2020-06	2.7	
CZE	HUR	TOT	PC_LF	M	2020-07	2.9	
CZE	HUR	TOT	PC_LF	M	2020-08	2.7	
CZE	HUR	TOT	PC_LF	M	2020-09	2.8	
CZE	HUR	TOT	PC_LF	M	2020-10	3.1	
CZE	HUR	TOT	PC_LF	M	2020-11	3	
CZE	HUR	TOT	PC_LF	M	2020-12	3.2	
CZE	HUR	TOT	PC_LF	M	2021-01	3.2	
CZE	HUR	TOT	PC_LF	M	2021-02	3.2	
CZE	HUR	TOT	PC_LF	M	2021-03	3.4	
CZE	HUR	TOT	PC_LF	M	2021-04	3.3	
CZE	HUR	TOT	PC_LF	M	2021-05	3.1	
CZE	HUR	TOT	PC_LF	M	2021-06	2.8	
CZE	HUR	TOT	PC_LF	M	2021-07	2.6	
CZE	HUR	TOT	PC_LF	M	2021-08	2.8	
CZE	HUR	TOT	PC_LF	M	2021-09	2.6	
CZE	HUR	TOT	PC_LF	M	2021-10	2.4	
CZE	HUR	TOT	PC_LF	M	2021-11	2.2	
CZE	HUR	TOT	PC_LF	M	2021-12	2.1	
DNK	HUR	TOT	PC_LF	M	2019-12	4.9	
DNK	HUR	TOT	PC_LF	M	2020-01	4.8	
DNK	HUR	TOT	PC_LF	M	2020-02	4.8	
DNK	HUR	TOT	PC_LF	M	2020-03	4.8	
DNK	HUR	TOT	PC_LF	M	2020-04	4.9	
DNK	HUR	TOT	PC_LF	M	2020-05	5.6	
DNK	HUR	TOT	PC_LF	M	2020-06	6.1	
DNK	HUR	TOT	PC_LF	M	2020-07	6.5	
DNK	HUR	TOT	PC_LF	M	2020-08	6.3	
DNK	HUR	TOT	PC_LF	M	2020-09	6.1	
DNK	HUR	TOT	PC_LF	M	2020-10	6	
DNK	HUR	TOT	PC_LF	M	2020-11	5.9	
DNK	HUR	TOT	PC_LF	M	2020-12	6	
DNK	HUR	TOT	PC_LF	M	2021-01	6	
DNK	HUR	TOT	PC_LF	M	2021-02	6	
DNK	HUR	TOT	PC_LF	M	2021-03	5.7	
DNK	HUR	TOT	PC_LF	M	2021-04	5.4	
DNK	HUR	TOT	PC_LF	M	2021-05	5.1	
DNK	HUR	TOT	PC_LF	M	2021-06	4.8	
DNK	HUR	TOT	PC_LF	M	2021-07	4.7	
DNK	HUR	TOT	PC_LF	M	2021-08	4.8	
DNK	HUR	TOT	PC_LF	M	2021-09	5.1	
DNK	HUR	TOT	PC_LF	M	2021-10	5	
DNK	HUR	TOT	PC_LF	M	2021-11	5.1	
DNK	HUR	TOT	PC_LF	M	2021-12	5.1	
